Date,close,open,high,low,change,volume
2011-03-31,28380,105,28355,28380,28235,55019000000
2011-04-01,28615,235,28390,28615,28380,45028000000
2011-04-04,28540,-75,28650,28660,28420,46307000000
2011-04-05,28720,180,28540,28755,28445,32122000000
2011-04-06,28655,-65,28700,28830,28565,36442000000
2011-04-07,28540,-115,28700,28790,28445,25970000000
2011-04-08,28605,65,28350,28770,28350,40558000000
2011-04-11,28535,-70,28585,28710,28445,21141000000
2011-04-12,28115,-420,28490,28490,28095,50851000000
2011-04-13,28595,480,28115,28595,27975,18389000000
2011-04-14,28850,255,28595,28850,28345,55272000000
2011-04-15,28825,-25,28840,28840,28600,37973000000
2011-04-18,28720,-105,28830,28880,28620,18184000000
2011-04-19,28520,-200,28440,28710,28395,22578000000
2011-04-20,29220,700,28750,29220,28750,39880000000
2011-04-21,29700,480,29370,29940,29370,77146000000
2011-04-22,29685,-15,29700,29760,29640,42666000000
2011-04-25,29860,175,29720,29915,29685,37208000000
2011-04-26,29730,-130,29860,29895,29650,24610000000
2011-04-27,29770,40,29930,30145,29630,49220000000
2011-04-28,29360,-10,29500,29620,29200,76179000000
2011-04-29,29195,-165,29360,29495,29060,34527000000
2011-05-02,29735,540,29270,29740,29270,52113000000
2011-05-03,29315,-420,29730,29730,29240,47672000000
2011-05-04,28990,-325,29315,29325,28975,46781000000
2011-05-06,28530,-460,28835,28835,28410,43105000000
2011-05-09,28370,-160,28545,28690,28350,49029000000
2011-05-11,28705,335,28530,28740,28460,33898000000
2011-05-12,28200,-505,28465,28600,28200,41869000000
2011-05-13,28155,-45,28360,28365,27930,70090000000
2011-05-16,27910,-245,28000,28055,27825,61373000000
2011-05-17,27880,-30,27850,27985,27780,42075000000
2011-05-18,28350,470,27910,28380,27910,24900000000
2011-05-19,27825,-525,28380,28435,27800,36545000000
2011-05-20,28025,200,27865,28050,27745,41623000000
2011-05-23,27365,-660,27945,27945,27355,58071000000
2011-05-24,27380,15,27365,27515,27265,73753000000
2011-05-25,27065,-315,27495,27660,27000,50922000000
2011-05-26,27900,835,27340,27915,27300,29707000000
2011-05-27,27990,90,27900,28130,27735,21423000000
2011-05-30,27840,-150,28190,28205,27725,19608000000
2011-05-31,28555,715,27850,28665,27850,36021000000
2011-06-01,28520,-35,28600,28650,28360,25930000000
2011-06-02,28105,-415,28000,28330,27880,19480000000
2011-06-03,28100,-5,28295,28365,28075,29194000000
2011-06-07,27950,-150,27910,28010,27795,23548000000
2011-06-08,27650,-300,27950,28035,27470,28843000000
2011-06-09,27470,-180,27650,27690,27370,68102000000
2011-06-10,27100,-370,27690,27745,27100,57954000000
2011-06-13,27175,75,27070,27290,26910,55522000000
2011-06-14,27575,400,27175,27685,27100,53354000000
2011-06-15,27695,120,27690,27750,27350,27071000000
2011-06-16,27085,-610,27420,27430,27060,31177000000
